Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
346cb959-dd97-437b-9468-d79188cbe1d3,2017-01-30 17:49:05,Running,,5.71,35:40,6:15,9.61,467.0,45,,"","Tiden är uppskattning då klockan hade stängt av sig...",2017-01-30-174905.gpx
e5a67d31-0652-4c84-a401-fa49d1a6944d,2017-01-24 17:49:30,Running,,4.98,36:57,7:25,8.09,386.0,50,,"","",2017-01-24-174930.gpx
a6c5208c-d821-4b23-abbe-b62f7d63e174,2017-01-17 14:26:30,Walking,,5.61,1:00:18,10:45,5.58,355.0,74,,"","",2017-01-17-142630.gpx
15ed046e-6d63-43b5-8919-a6fa08c928cd,2016-12-24 11:23:59,Running,,7.97,51:11,6:25,9.35,673.0,114,,"","Backarna var inte roliga...  :P",2016-12-24-112359.gpx
1847be34-d417-4a2b-8d79-3db5512e0b0b,2016-12-21 17:51:12,Running,,7.93,49:48,6:17,9.56,642.0,44,,"","Regnigt och blåsigt men jag tog mig runt! :)",2016-12-21-175112.gpx
94d6f2f9-fae4-4ef5-9cf7-1f7bd41da4b8,2016-12-19 17:58:20,Running,,7.97,54:12,6:48,8.82,642.0,45,,"","",2016-12-19-175820.gpx
b391bc03-ef5f-40e0-980c-a5530da33d6c,2016-12-15 17:52:00,Running,,8.03,54:36,6:48,8.83,707.0,227,,"","",2016-12-15-175200.gpx
0a59b946-3c5f-4e0c-852d-8708fe4febde,2016-12-12 13:42:46,Walking,,7.91,1:24:09,10:39,5.64,483.0,64,,"","Friskvårdsprommenad i solen. Trodde det skulle vara betydligt längre än 8 km... :P",2016-12-12-134246.gpx
ca5634f9-4125-4d24-8555-9f240b891dba,2016-12-10 15:06:57,Running,,5.75,35:23,6:09,9.75,472.0,51,,"","",2016-12-10-150657.gpx
85171ca2-30aa-4e3f-94b9-d52d19e03017,2016-11-21 19:07:08,Running,,5.20,40:15,7:44,7.75,382.0,48,,"","Fick ont i högerbenet så fick gå en bra bit.... :(",2016-11-21-190708.gpx
a3c94c42-3d08-4c0d-90a5-81123220bb7d,2016-11-10 17:31:53,Running,,5.10,31:23,6:09,9.74,425.0,57,,"","",2016-11-10-173153.gpx
5a30ffd5-1a5a-4a44-9c9a-a663be13a883,2016-11-07 18:06:07,Running,,5.67,35:40,6:18,9.53,468.0,51,,"","Första passet efter förkylningen. Tog det lugnt...",2016-11-07-180607.gpx
a4f72bb1-211e-47f4-9c2e-d8a73ff87b04,2016-10-24 17:48:16,Running,,10.82,1:07:19,6:13,9.64,877.0,86,,"","",2016-10-24-174816.gpx
2dced264-42bb-43f7-9636-9358a8612ab2,2016-10-17 17:49:29,Running,,10.57,1:05:55,6:14,9.62,863.0,94,,"","",2016-10-17-174929.gpx
617aab9f-8361-4eef-919c-a289eed4d30f,2016-10-13 17:34:00,Running,,10.49,1:02:48,5:59,10.03,864.0,101,,"","Första gången under 6min/km! Heja mig! :)",2016-10-13-173400.gpx
ebd660a0-afac-45ba-94a6-7a3d7d28dff9,2016-10-11 18:00:53,Running,,10.58,1:05:01,6:09,9.76,868.0,99,,"","",2016-10-11-180053.gpx
59dcb003-ca39-4779-8dda-24ceb4156ae7,2016-10-09 13:20:11,Running,,4.97,29:17,5:54,10.18,407.0,41,,"","",2016-10-09-132011.gpx
18ad43f2-b2a2-405c-8a87-f42926790fd8,2016-10-04 18:24:16,Running,,5.67,33:08,5:51,10.27,463.0,49,,"","",2016-10-04-182416.gpx
322d9439-6e0b-435f-b0a9-e2d693aeee56,2016-09-30 18:06:07,Running,,10.50,1:04:24,6:08,9.78,867.0,102,151,"","",2016-09-30-180607.gpx
6aeb1218-1ece-43a3-a67a-b633200f98ac,2016-09-27 17:58:01,Running,,4.97,35:51,7:12,8.33,385.0,49,,"","Hatar när man får håll!",2016-09-27-175801.gpx
c46ad3f8-c3a5-40e0-9b6c-1f7f0723e901,2016-09-22 18:28:40,Running,,10.54,1:04:44,6:08,9.77,874.0,110,148,"","",2016-09-22-182840.gpx
1d0c3e6e-8c92-409e-bb39-c549054693a6,2016-09-20 18:46:51,Running,,10.68,1:10:13,6:35,9.12,884.0,110,144,"","Glömde stänga av så 01:07 stämmer bättre",2016-09-20-184651.gpx
0ccc51ea-6776-4927-abf6-c1ce4ff17832,2016-09-17 11:07:34,Running,,17.52,2:28:50,8:30,7.06,1345.0,0,,"Daniel Andersson,","",
38619369-5cd4-47f7-b89f-414d21b814f4,2016-09-16 20:45:46,Running,,7.69,47:35,6:11,9.70,670.0,0,,"Daniel Andersson,","",
1788b1a1-2a6c-4ea9-9a15-8ed0eaecbd24,2016-09-13 17:52:25,Running,,9.84,1:06:39,6:46,8.86,809.0,88,139,"","",2016-09-13-175225.gpx
5a7f209f-1340-493b-aa09-2a305c446dd5,2016-09-10 09:57:29,Running,,4.97,28:21,5:42,10.52,406.0,45,157,"","",2016-09-10-095729.gpx
8506d04f-705e-4074-bc8c-2eac70b47658,2016-09-08 18:00:54,Running,,9.89,1:03:51,6:27,9.30,817.0,89,135,"","Kôvet idag! Svettigt värre!",2016-09-08-180054.gpx
bd35b61b-85be-4e2a-85f1-d0a3cd3cdf9a,2016-09-06 18:07:23,Running,,9.88,1:05:11,6:36,9.09,812.0,90,134,"","",2016-09-06-180723.gpx
d2b1ae1a-825d-4b26-8caf-56c7b4c3c179,2016-09-03 11:06:38,Running,,6.65,52:00,7:49,7.67,506.0,88,,"","Sprang fel så jag fick stanna och orientera mig. Därav det låga tempot...",2016-09-03-110638.gpx
9ff7775c-bde9-493b-96f3-1f381e37b250,2016-08-31 18:22:47,Running,,9.95,1:07:22,6:46,8.86,812.0,97,138,"","",2016-08-31-182247.gpx
